province,city,dist,vil,name
63,0,0,0,臺北市
63,0,10,0,松山區
63,0,10,2,莊敬里
63,0,10,3,東榮里
63,0,10,4,三民里
63,0,10,5,新益里
63,0,10,6,富錦里
63,0,10,7,新東里
63,0,10,8,富泰里
63,0,10,9,介壽里
63,0,10,10,精忠里
63,0,10,11,東光里
63,0,10,12,龍田里
63,0,10,13,東昌里
63,0,10,14,東勢里
63,0,10,15,中華里
63,0,10,16,民有里
63,0,10,17,民福里
63,0,10,18,慈祐里
63,0,10,19,安平里
63,0,10,20,鵬程里
63,0,10,21,自強里
63,0,10,22,吉祥里
63,0,10,24,新聚里
63,0,10,25,復盛里
63,0,10,26,中正里
63,0,10,27,中崙里
63,0,10,28,美仁里
63,0,10,29,吉仁里
63,0,10,30,敦化里
63,0,10,31,復源里
63,0,10,32,復建里
63,0,10,33,復勢里
63,0,10,34,福成里
63,0,10,35,松基里
63,0,20,0,信義區
63,0,20,1,西村里
63,0,20,2,正和里
63,0,20,3,興隆里
63,0,20,4,中興里
63,0,20,5,新仁里
63,0,20,6,興雅里
63,0,20,7,敦厚里
63,0,20,8,廣居里
63,0,20,9,安康里
63,0,20,10,六藝里
63,0,20,11,雅祥里
63,0,20,12,五常里
63,0,20,13,五全里
63,0,20,14,永吉里
63,0,20,15,長春里
63,0,20,16,四育里
63,0,20,17,四維里
63,0,20,18,永春里
63,0,20,19,富台里
63,0,20,20,國業里
63,0,20,21,松隆里
63,0,20,22,松友里
63,0,20,23,松光里
63,0,20,24,中坡里
63,0,20,25,中行里
63,0,20,26,大道里
63,0,20,27,大仁里
63,0,20,28,景新里
63,0,20,29,惠安里
63,0,20,30,三張里
63,0,20,31,三犁里
63,0,20,32,六合里
63,0,20,33,泰和里
63,0,20,34,景聯里
63,0,20,35,景勤里
63,0,20,36,雙和里
63,0,20,37,嘉興里
63,0,20,38,黎順里
63,0,20,39,黎平里
63,0,20,40,黎忠里
63,0,20,41,黎安里
63,0,30,0,大安區
63,0,30,1,德安里
63,0,30,2,仁慈里
63,0,30,3,和安里
63,0,30,4,民炤里
63,0,30,5,仁愛里
63,0,30,6,義村里
63,0,30,7,民輝里
63,0,30,8,昌隆里
63,0,30,9,誠安里
63,0,30,10,光武里
63,0,30,11,龍坡里
63,0,30,12,龍泉里
63,0,30,13,古風里
63,0,30,14,古莊里
63,0,30,15,龍安里
63,0,30,16,錦安里
63,0,30,17,福住里
63,0,30,18,永康里
63,0,30,19,光明里
63,0,30,20,錦泰里
63,0,30,21,錦華里
63,0,30,22,龍圖里
63,0,30,23,新龍里
63,0,30,26,龍陣里
63,0,30,27,龍雲里
63,0,30,28,龍生里
63,0,30,29,住安里
63,0,30,30,義安里
63,0,30,31,通化里
63,0,30,32,通安里
63,0,30,33,臨江里
63,0,30,34,法治里
63,0,30,35,全安里
63,0,30,36,群賢里
63,0,30,37,群英里
63,0,30,38,虎嘯里
63,0,30,39,臥龍里
63,0,30,40,龍淵里
63,0,30,41,龍門里
63,0,30,43,大學里
63,0,30,44,芳和里
63,0,30,46,黎元里
63,0,30,47,黎孝里
63,0,30,48,黎和里
63,0,30,49,建安里
63,0,30,50,建倫里
63,0,30,51,敦安里
63,0,30,52,正聲里
63,0,30,53,敦煌里
63,0,30,54,華聲里
63,0,30,55,車層里
63,0,30,56,光信里
63,0,30,57,學府里
63,0,40,0,中山區
63,0,40,1,正守里
63,0,40,2,正義里
63,0,40,3,正得里
63,0,40,4,民安里
63,0,40,5,康樂里
63,0,40,6,中山里
63,0,40,7,聚盛里
63,0,40,8,集英里
63,0,40,9,聚葉里
63,0,40,10,恆安里
63,0,40,11,晴光里
63,0,40,12,圓山里
63,0,40,13,劍潭里
63,0,40,14,大直里
63,0,40,15,成功里
63,0,40,16,永安里
